name,description,implementation status,effect_level,version
Clip,Constrains a value to a range,✅,pure,5.1
ClippingStyle,,,,6
ClipPlanes,,,,10
ClipPlanesStyle,,,,10
ClipRange,,,,9
Clock,,,,6
ClockGauge,,,,9
Close,,,,1
CloseKernels,,,,7
ClosenessCentrality,,,,8
Closing,,,,7
CloudAccountData,,,,10
CloudBase,,,,10
CloudConnect,,,,10
CloudDeploy,,,,10
CloudDirectory,,,,10
CloudDisconnect,,,,10
CloudEvaluate,,,,10
CloudExport,,,,10
CloudExpression,,,,10.4
CloudExpressions,,,,10.4
CloudFunction,,,,10
CloudGet,,,,10
CloudImport,,,,10
CloudLoggingData,,,,10.2
CloudObject,,,,10
CloudObjectNameFormat,,,,12
CloudObjects,,,,10
CloudObjectURLType,,,,12
CloudPublish,,,,10.2
CloudPut,,,,10
CloudRenderingMethod,,,,12
CloudSave,,,,10
CloudShare,,,,10.2
CloudSubmit,,,,10.2
CloudSymbol,,,,10
CloudUnshare,,,,11.3
ClusterClassify,,,,10.4
ClusterDissimilarityFunction,,,,10.4
ClusteringComponents,,,,8
ClusteringMeasurements,,,,13.2
ClusteringTree,,,,10.4
CMYKColor,,,,2
CodeAssistOptions,,,,10
Coefficient,Extracts the coefficient of a term in a polynomial,✅,pure,1
CoefficientArrays,,,,5
CoefficientList,Returns the list of coefficients of a polynomial,✅,pure,1
CoefficientRules,,,,7
CoifletWavelet,,,,8
Collect,Collects terms with the same powers of a variable,✅,pure,1
CollinearPoints,,,,12.2
Colon,,,,3
ColorBalance,,,,10.2
ColorCombine,,,,7
ColorConvert,,,,7
ColorCoverage,,,,10
ColorData,,,,6
ColorDataFunction,,,,6
ColorDetect,,,,12
ColorDistance,,,,10
ColorFunction,,,,2
ColorFunctionBinning,,,,12.2
ColorFunctionScaling,,,,4
Colorize,,,,8
ColorNegate,Negates colors in an image,✅,pure,7
ColorProfileData,,,,9
ColorQ,,,,10
ColorQuantize,,,,7
ColorReplace,,,,9
ColorRules,,,,5.1
ColorSeparate,,,,7
ColorSetter,,,,6
ColorSlider,,,,6
ColorsNear,,,,12
